10,0,35,35,70,7029.6,6675.2,6320.8,5966.4,5612.0,5257.6,4903.2,4548.8,4194.4,3840.0,3485.6,3131.2,2776.8,2422.4,2068.0,1943.2,1818.4,1693.6,1568.8,1444.0,1316.6,1189.2,1061.8,934.4,807.0,757.0,707.0,657.0,607.0,557.0,521.6,486.2,450.8,415.4,380.0,358.2,336.4,314.6,292.8,271.0,9544.6,9049.2,8553.8,8058.4,7563.0,7067.6,6572.2,6076.8,5581.4,5086.0,4590.6,4095.2,3599.8,3104.4,2609.0,2401.8,2194.6,1987.4,1780.2,1573.0,1454.0,1335.0,1216.0,1097.0,978.0,917.8,857.6,797.4,737.2,677.0,634.2,591.4,548.6,505.8,463.0,436.2,409.4,382.6,355.8,329.0
10,0,35,35,120,6925.2,6579.4,6233.6,5887.8,5542.0,5196.2,4850.4,4504.6,4158.8,3813.0,3467.2,3121.4,2775.6,2429.8,2084.0,1922.4,1760.8,1599.2,1437.6,1276.0,1182.8,1089.6,996.4,903.2,810.0,731.8,653.6,575.4,497.2,419.0,390.2,361.4,332.6,303.8,275.0,256.6,238.2,219.8,201.4,183.0,9539.6,9036.2,8532.8,8029.4,7526.0,7022.6,6519.2,6015.8,5512.4,5009.0,4505.6,4002.2,3498.8,2995.4,2492.0,2275.6,2059.2,1842.8,1626.4,1410.0,1297.4,1184.8,1072.2,959.6,847.0,794.2,741.4,688.6,635.8,583.0,546.2,509.4,472.6,435.8,399.0,376.6,354.2,331.8,309.4,287.0
10,0,45,45,70,6032.8,5742.6,5452.4,5162.2,4872.0,4581.8,4291.6,4001.4,3711.2,3421.0,3130.8,2840.6,2550.4,2260.2,1970.0,1825.0,1680.0,1535.0,1390.0,1245.0,1161.8,1078.6,995.4,912.2,829.0,774.4,719.8,665.2,610.6,556.0,512.2,468.4,424.6,380.8,337.0,325.2,313.4,301.6,289.8,278.0,8726.2,8274.4,7822.6,7370.8,6919.0,6467.2,6015.4,5563.6,5111.8,4660.0,4208.2,3756.4,3304.6,2852.8,2401.0,2200.8,2000.6,1800.4,1600.2,1400.0,1307.4,1214.8,1122.2,1029.6,937.0,875.4,813.8,752.2,690.6,629.0,582.4,535.8,489.2,442.6,396.0,379.2,362.4,345.6,328.8,312.0
10,0,45,45,120,6015.8,5716.6,5417.4,5118.2,4819.0,4519.8,4220.6,3921.4,3622.2,3323.0,3023.8,2724.6,2425.4,2126.2,1827.0,1685.6,1544.2,1402.8,1261.4,1120.0,1048.0,976.0,904.0,832.0,760.0,709.4,658.8,608.2,557.6,507.0,482.2,457.4,432.6,407.8,383.0,354.4,325.8,297.2,268.6,240.0,8972.0,8497.0,8022.0,7547.0,7072.0,6597.0,6122.0,5647.0,5172.0,4697.0,4222.0,3747.0,3272.0,2797.0,2322.0,2116.6,1911.2,1705.8,1500.4,1295.0,1199.4,1103.8,1008.2,912.6,817.0,768.8,720.6,672.4,624.2,576.0,547.4,518.8,490.2,461.6,433.0,404.4,375.8,347.2,318.6,290.0
10,0,55,55,70,7247.4,6885.8,6524.2,6162.6,5801.0,5439.4,5077.8,4716.2,4354.6,3993.0,3631.4,3269.8,2908.2,2546.6,2185.0,2018.6,1852.2,1685.8,1519.4,1353.0,1243.2,1133.4,1023.6,913.8,804.0,756.6,709.2,661.8,614.4,567.0,533.2,499.4,465.6,431.8,398.0,374.0,350.0,326.0,302.0,278.0,9419.4,8920.8,8422.2,7923.6,7425.0,6926.4,6427.8,5929.2,5430.6,4932.0,4433.4,3934.8,3436.2,2937.6,2439.0,2231.6,2024.2,1816.8,1609.4,1402.0,1299.0,1196.0,1093.0,990.0,887.0,834.0,781.0,728.0,675.0,622.0,585.2,548.4,511.6,474.8,438.0,416.8,395.6,374.4,353.2,332.0
10,0,55,55,120,5565.4,5286.8,5008.2,4729.6,4451.0,4172.4,3893.8,3615.2,3336.6,3058.0,2779.4,2500.8,2222.2,1943.6,1665.0,1533.8,1402.6,1271.4,1140.2,1009.0,935.6,862.2,788.8,715.4,642.0,606.0,570.0,534.0,498.0,462.0,434.8,407.6,380.4,353.2,326.0,308.6,291.2,273.8,256.4,239.0,8193.0,7760.0,7327.0,6894.0,6461.0,6028.0,5595.0,5162.0,4729.0,4296.0,3863.0,3430.0,2997.0,2564.0,2131.0,1939.0,1747.0,1555.0,1363.0,1171.0,1075.6,980.2,884.8,789.4,694.0,654.8,615.6,576.4,537.2,498.0,470.4,442.8,415.2,387.6,360.0,342.0,324.0,306.0,288.0,270.0
10,0,65,65,70,5886.8,5597.6,5308.4,5019.2,4730.0,4440.8,4151.6,3862.4,3573.2,3284.0,2994.8,2705.6,2416.4,2127.2,1838.0,1695.0,1552.0,1409.0,1266.0,1123.0,1026.8,930.6,834.4,738.2,642.0,615.0,588.0,561.0,534.0,507.0,458.2,409.4,360.6,311.8,263.0,244.8,226.6,208.4,190.2,172.0,8711.6,8250.2,7788.8,7327.4,6866.0,6404.6,5943.2,5481.8,5020.4,4559.0,4097.6,3636.2,3174.8,2713.4,2252.0,2055.0,1858.0,1661.0,1464.0,1267.0,1169.6,1072.2,974.8,877.4,780.0,732.2,684.4,636.6,588.8,541.0,509.8,478.6,447.4,416.2,385.0,365.2,345.4,325.6,305.8,286.0
10,0,65,65,120,5559.4,5277.8,4996.2,4714.6,4433.0,4151.4,3869.8,3588.2,3306.6,3025.0,2743.4,2461.8,2180.2,1898.6,1617.0,1487.8,1358.6,1229.4,1100.2,971.0,901.8,832.6,763.4,694.2,625.0,587.6,550.2,512.8,475.4,438.0,410.8,383.6,356.4,329.2,302.0,284.2,266.4,248.6,230.8,213.0,8467.8,8013.6,7559.4,7105.2,6651.0,6196.8,5742.6,5288.4,4834.2,4380.0,3925.8,3471.6,3017.4,2563.2,2109.0,1915.8,1722.6,1529.4,1336.2,1143.0,1050.4,957.8,865.2,772.6,680.0,636.0,592.0,548.0,504.0,460.0,434.0,408.0,382.0,356.0,330.0,313.0,296.0,279.0,262.0,245.0
10,0,45,65,70,6359.8,6044.6,5729.4,5414.2,5099.0,4783.8,4468.6,4153.4,3838.2,3523.0,3207.8,2892.6,2577.4,2262.2,1947.0,1793.4,1639.8,1486.2,1332.6,1179.0,1091.0,1003.0,915.0,827.0,739.0,683.4,627.8,572.2,516.6,461.0,426.0,391.0,356.0,321.0,286.0,265.2,244.4,223.6,202.8,182.0,8495.4,8050.8,7606.2,7161.6,6717.0,6272.4,5827.8,5383.2,4938.6,4494.0,4049.4,3604.8,3160.2,2715.6,2271.0,2076.0,1881.0,1686.0,1491.0,1296.0,1197.2,1098.4,999.6,900.8,802.0,753.6,705.2,656.8,608.4,560.0,526.8,493.6,460.4,427.2,394.0,373.0,352.0,331.0,310.0,289.0
10,0,45,65,120,5641.0,5356.0,5071.0,4786.0,4501.0,4216.0,3931.0,3646.0,3361.0,3076.0,2791.0,2506.0,2221.0,1936.0,1651.0,1521.4,1391.8,1262.2,1132.6,1003.0,931.8,860.6,789.4,718.2,647.0,608.2,569.4,530.6,491.8,453.0,422.0,391.0,360.0,329.0,298.0,282.2,266.4,250.6,234.8,219.0,8626.2,8162.4,7698.6,7234.8,6771.0,6307.2,5843.4,5379.6,4915.8,4452.0,3988.2,3524.4,3060.6,2596.8,2133.0,1943.2,1753.4,1563.6,1373.8,1184.0,1087.6,991.2,894.8,798.4,702.0,656.6,611.2,565.8,520.4,475.0,446.6,418.2,389.8,361.4,333.0,315.8,298.6,281.4,264.2,247.0
14,0,35,35,70,8094.2,7700.4,7306.6,6912.8,6519.0,6125.2,5731.4,5337.6,4943.8,4550.0,4156.2,3762.4,3368.6,2974.8,2581.0,2379.6,2178.2,1976.8,1775.4,1574.0,1452.0,1330.0,1208.0,1086.0,964.0,906.4,848.8,791.2,733.6,676.0,629.0,582.0,535.0,488.0,441.0,415.4,389.8,364.2,338.6,313.0,10497.8,9954.6,9411.4,8868.2,8325.0,7781.8,7238.6,6695.4,6152.2,5609.0,5065.8,4522.6,3979.4,3436.2,2893.0,2652.6,2412.2,2171.8,1931.4,1691.0,1566.8,1442.6,1318.4,1194.2,1070.0,1004.0,938.0,872.0,806.0,740.0,694.6,649.2,603.8,558.4,513.0,483.6,454.2,424.8,395.4,366.0
14,0,35,35,120,8059.6,7658.2,7256.8,6855.4,6454.0,6052.6,5651.2,5249.8,4848.4,4447.0,4045.6,3644.2,3242.8,2841.4,2440.0,2249.2,2058.4,1867.6,1676.8,1486.0,1378.8,1271.6,1164.4,1057.2,950.0,891.4,832.8,774.2,715.6,657.0,614.0,571.0,528.0,485.0,442.0,415.4,388.8,362.2,335.6,309.0,10816.8,10249.6,9682.4,9115.2,8548.0,7980.8,7413.6,6846.4,6279.2,5712.0,5144.8,4577.6,4010.4,3443.2,2876.0,2628.0,2380.0,2132.0,1884.0,1636.0,1505.6,1375.2,1244.8,1114.4,984.0,920.6,857.2,793.8,730.4,667.0,626.6,586.2,545.8,505.4,465.0,439.6,414.2,388.8,363.4,338.0
14,0,45,45,70,8488.9,8046.8,7604.7,7162.6,6720.5,6278.4,5836.3,5394.2,4952.1,4510.0,4067.9,3625.8,3183.7,2741.6,2299.5,2116.5,1933.5,1750.5,1567.5,1384.5,1274.5,1164.5,1054.5,944.5,834.5,788.1,741.7,695.3,648.9,602.5,558.0,513.5,469.0,424.5,380.0,357.8,335.6,313.4,291.2,269.0,10419.2,9868.9,9318.6,8768.3,8218.0,7667.7,7117.4,6567.1,6016.8,5466.5,4916.2,4365.9,3815.6,3265.3,2715.0,2488.8,2262.6,2036.4,1810.2,1584.0,1459.4,1334.8,1210.2,1085.6,961.0,903.1,845.2,787.3,729.4,671.5,622.7,573.9,525.1,476.3,427.5,405.8,384.1,362.4,340.7,319.0
14,0,45,45,120,7264.4,6897.3,6530.1,6162.8,5795.6,5428.3,5061.1,4693.9,4326.7,3959.5,3592.3,3225.0,2857.8,2490.6,2123.4,1962.2,1801.1,1640.0,1478.8,1317.7,1220.2,1122.5,1024.9,927.4,829.8,777.4,725.0,672.6,620.1,567.7,521.1,474.5,427.8,381.2,334.5,317.1,299.7,282.2,264.8,247.3,9809.7,9292.4,8775.1,8257.8,7740.4,7223.1,6705.8,6188.5,5671.2,5153.8,4636.5,4119.2,3601.9,3084.5,2567.2,2352.8,2138.4,1924.1,1709.6,1495.2,1373.4,1251.6,1129.7,1007.9,886.0,828.7,771.3,714.0,656.6,599.2,559.0,518.8,478.5,438.3,398.1,386.1,374.1,362.2,350.2,338.2
14,0,50,50,70,8704.0,8232.0,7760.0,7288.0,6816.0,6344.0,5872.0,5400.0,4928.0,4456.0,3984.0,3512.0,3040.0,2568.0,2096.0,1924.0,1752.0,1580.0,1408.0,1236.0,1143.4,1050.8,958.2,865.6,773.0,730.2,687.4,644.6,601.8,559.0,518.8,478.6,438.4,398.2,358.0,338.8,319.6,300.4,281.2,262.0,10488.2,9930.4,9372.6,8814.8,8257.0,7699.2,7141.4,6583.6,6025.8,5468.0,4910.2,4352.4,3794.6,3236.8,2679.0,2455.0,2231.0,2007.0,1783.0,1559.0,1435.6,1312.2,1188.8,1065.4,942.0,885.2,828.4,771.6,714.8,658.0,603.8,549.6,495.4,441.2,387.0,368.0,349.0,330.0,311.0,292.0
14,0,50,50,120,6936.2,6587.3,6238.2,5889.2,5540.3,5191.2,4842.2,4493.3,4144.3,3795.2,3446.3,3097.3,2748.2,2399.3,2050.3,1897.8,1745.2,1592.7,1440.1,1287.6,1194.4,1101.2,1008.0,914.8,821.6,767.9,714.1,660.3,606.5,552.7,496.9,440.9,385.0,329.1,273.2,259.9,246.6,233.3,220.0,206.7,9610.6,9104.8,8599.0,8093.1,7587.3,7081.5,6575.6,6069.9,5564.1,5058.2,4552.4,4046.6,3540.7,3034.9,2529.1,2320.9,2112.6,1904.4,1696.1,1487.9,1367.5,1247.1,1126.7,1006.3,885.9,825.9,765.9,706.0,645.9,586.0,544.1,502.4,460.6,418.8,377.1,373.9,370.6,367.4,364.2,361.0
14,0,60,60,70,6962.8,6617.6,6272.4,5927.2,5582.0,5236.8,4891.6,4546.4,4201.2,3856.0,3510.8,3165.6,2820.4,2475.2,2130.0,1969.4,1808.8,1648.2,1487.6,1327.0,1228.6,1130.2,1031.8,933.4,835.0,783.4,731.8,680.2,628.6,577.0,541.2,505.4,469.6,433.8,398.0,375.4,352.8,330.2,307.6,285.0,8987.8,8517.6,8047.4,7577.2,7107.0,6636.8,6166.6,5696.4,5226.2,4756.0,4285.8,3815.6,3345.4,2875.2,2405.0,2207.4,2009.8,1812.2,1614.6,1417.0,1311.2,1205.4,1099.6,993.8,888.0,835.0,782.0,729.0,676.0,623.0,585.0,547.0,509.0,471.0,433.0,409.8,386.6,363.4,340.2,317.0
14,0,60,60,120,5527.0,5251.0,4975.0,4699.0,4423.0,4147.0,3871.0,3595.0,3319.0,3043.0,2767.0,2491.0,2215.0,1939.0,1663.0,1539.0,1415.0,1291.0,1167.0,1043.0,969.4,895.8,822.2,748.6,675.0,634.8,594.6,554.4,514.2,474.0,445.2,416.4,387.6,358.8,330.0,310.2,290.4,270.6,250.8,231.0,8127.6,7706.2,7284.8,6863.4,6442.0,6020.6,5599.2,5177.8,4756.4,4335.0,3913.6,3492.2,3070.8,2649.4,2228.0,2033.4,1838.8,1644.2,1449.6,1255.0,1155.8,1056.6,957.4,858.2,759.0,713.0,667.0,621.0,575.0,529.0,498.4,467.8,437.2,406.6,376.0,356.0,336.0,316.0,296.0,276.0
14,0,35,65,70,7741.4,7356.8,6972.2,6587.6,6203.0,5818.4,5433.8,5049.2,4664.6,4280.0,3895.4,3510.8,3126.2,2741.6,2357.0,2177.6,1998.2,1818.8,1639.4,1460.0,1346.4,1232.8,1119.2,1005.6,892.0,836.8,781.6,726.4,671.2,616.0,564.2,512.4,460.6,408.8,357.0,343.8,330.6,317.4,304.2,291.0,9698.2,9194.4,8690.6,8186.8,7683.0,7179.2,6675.4,6171.6,5667.8,5164.0,4660.2,4156.4,3652.6,3148.8,2645.0,2422.4,2199.8,1977.2,1754.6,1532.0,1413.8,1295.6,1177.4,1059.2,941.0,883.4,825.8,768.2,710.6,653.0,612.2,571.4,530.6,489.8,449.0,425.8,402.6,379.4,356.2,333.0
